SER_NUM	FROM_FIRST_TIME	BEFORE_US	TOT_MATCHED	BEFORE_US_PROMILE	MATCHED_FLG
10	335	41	4940	8.3	0
11	368	39	4940	7.9	0
1	0	43	3323	12.9	0
2	51	43	3323	12.9	0
1	0	38	5492	6.9	0
2	81	46	5492	8.4	0
3	126	38	5492	6.9	0
4	159	41	5492	7.5	0
5	214	15	5492	2.7	0
6	287	15	5502	2.7	0
1	0	40	21450	1.9	1
2	202	15	22529	0.7	0
3	252	22	22529	1.0	0
4	282	38	22617	1.7	0
5	302	41	22617	1.8	0
6	322	15	22617	0.7	0
7	362	27	22710	1.2	0
8	372	32	22710	1.4	0
1	0	38	27986	1.4	0
2	10	45	27986	1.6	0
3	20	41	27986	1.5	1
4	242	28	28949	1.0	0
5	282	23	29053	0.8	1
1	0	49	3105	15.8	1
2	170	41	3241	12.7	0
3	190	25	3241	7.7	0
4	200	43	3241	13.3	0
1	0	10	12201	0.8	0
1	0	41	3327	12.3	0
2	53	41	3340	12.3	0
3	65	19	3358	5.7	0
4	88	19	3358	5.7	0
5	241	49	3397	14.4	0
1	0	41	15585	2.6	0
2	51	43	15706	2.7	0
3	145	48	16408	2.9	0
1	0	41	4245	9.7	0
2	20	15	4245	3.5	0
3	50	41	4245	9.7	0
4	60	15	4245	3.5	0
5	102	38	4245	9.0	0
6	110	15	4245	3.5	0
7	161	41	4245	9.7	0
8	260	41	4245	9.7	0
1	0	41	14853	2.8	0
2	32	28	14910	1.9	0
3	91	43	16091	2.7	0
4	101	41	16091	2.5	0
1	0	43	12024	3.6	0
2	11	41	12024	3.4	0
3	20	18	12024	1.5	0
4	71	41	12076	3.4	0
5	212	15	12080	1.2	0
6	292	49	12080	4.1	0
7	323	43	12095	3.6	0
8	383	43	12095	3.6	0
1	0	11	6576	1.7	0
2	91	43	6608	6.5	1
3	283	38	6751	5.6	0
4	293	41	6751	6.1	0
5	343	41	6751	6.1	0
1	0	41	3084	13.3	0
2	22	14	3084	4.5	0
3	115	41	3131	13.1	0
4	350	43	3131	13.7	0
1	0	30	3345	9.0	0
2	153	41	3345	12.3	0
1	0	43	6160	7.0	0
2	20	17	6160	2.8	0
3	30	28	6160	4.5	0
4	50	13	6160	2.1	0
5	60	13	6160	2.1	1
6	112	43	6255	6.9	0
7	120	15	6255	2.4	0
1	0	43	17871	2.4	0
2	20	49	17871	2.7	0
3	30	41	18108	2.3	0
4	81	41	18108	2.3	0
5	131	41	18114	2.3	0
6	182	49	18114	2.7	1
1	0	41	4812	8.5	0
2	30	15	4812	3.1	0
3	40	15	4812	3.1	0
4	380	41	4922	8.3	0
1	0	15	9912	1.5	0
2	60	41	9912	4.1	0
3	70	26	9914	2.6	0
4	150	22	10456	2.1	1
5	300	49	10723	4.6	0
6	370	46	11335	4.1	0
1	0	40	54629	0.7	0
2	298	17	60392	0.3	0
3	372	20	62651	0.3	0
1	0	41	6208	6.6	0
2	77	43	6220	6.9	0
3	106	21	6220	3.4	0
4	122	6	6220	1.0	0
5	203	16	6240	2.6	0
6	257	43	6259	6.9	0
1	0	30	13544	2.2	1
2	169	30	14445	2.1	0
3	240	43	14445	3.0	0
4	271	43	14445	3.0	0
1	0	38	11083	3.4	0
2	165	30	11894	2.5	0
1	0	36	30341	1.2	1
2	110	30	30890	1.0	0
3	150	38	30919	1.2	0
4	190	28	30946	0.9	0
5	210	30	30956	1.0	0
1	0	41	3803	10.8	0
2	60	41	3840	10.7	0
3	81	30	3840	7.8	0
4	111	30	3840	7.8	0
5	171	41	3840	10.7	0
6	292	41	3879	10.6	0
1	0	22	4182	5.3	0
2	10	41	4182	9.8	0
3	121	41	4206	9.7	0
4	172	46	4219	10.9	0
5	202	38	4231	9.0	0
6	212	15	4232	3.5	0
7	232	41	4239	9.7	0
8	262	15	4239	3.5	0
9	282	41	4251	9.6	0
10	332	41	4251	9.6	0
11	432	30	4267	7.0	0
1	0	41	6491	6.3	0
2	60	41	6500	6.3	0
3	171	41	6500	6.3	0
4	272	15	6506	2.3	0
5	282	41	6506	6.3	0
6	302	15	6506	2.3	0
7	342	41	6506	6.3	0
1	0	41	13526	3.0	0
2	10	40	13526	3.0	0
3	90	25	13683	1.8	0
4	110	41	13683	3.0	0
5	120	15	13685	1.1	0
1	0	23	4983	4.6	0
2	130	41	5113	8.0	0
3	351	35	5121	6.8	0
1	0	18	38675	0.5	0
2	19	37	38676	1.0	0
3	110	32	38804	0.8	0
4	130	22	39077	0.6	1
1	0	43	289432	0.1	1
2	20	36	291282	0.1	1
3	50	40	292163	0.1	0
1	0	41	3853	10.6	0
2	103	41	3856	10.6	0
3	136	48	3856	12.4	0
4	208	41	3937	10.4	0
1	0	41	3235	12.7	0
2	50	41	3235	12.7	0
3	60	15	3235	4.6	0
4	70	15	3235	4.6	0
5	100	41	3235	12.7	0
6	110	15	3235	4.6	0
7	161	41	3235	12.7	0
8	231	41	3257	12.6	0
1	0	30	46948	0.6	0
2	20	39	47134	0.8	0
3	50	39	47254	0.8	1
1	0	41	3581	11.4	0
2	21	49	3581	13.7	0
3	62	41	3581	11.4	0
4	155	24	3588	6.7	0
5	186	47	3588	13.1	0
6	246	41	3588	11.4	0
7	316	41	3588	11.4	0
1	0	41	5016	8.2	0
2	60	41	5023	8.2	0
3	100	38	5023	7.6	0
4	122	41	5023	8.2	0
5	143	22	5073	4.3	0
6	173	41	5073	8.1	1
7	295	38	5225	7.3	0
8	406	15	5225	2.9	0
9	466	38	5225	7.3	0
1	0	35	8980	3.9	0
2	122	8	9052	0.9	0
3	153	8	9068	0.9	0
4	163	8	9077	0.9	0
5	173	8	9100	0.9	0
6	183	8	9100	0.9	0
7	347	35	9219	3.8	0
8	377	22	9219	2.4	0
9	398	35	9226	3.8	0
10	408	25	9238	2.7	0
1	0	25	65874	0.4	0
2	21	10	65903	0.2	0
3	133	29	66019	0.4	0
4	153	15	66042	0.2	0
5	163	15	66052	0.2	0
6	255	40	66404	0.6	0
1	0	25	13192	1.9	0
2	21	41	13192	3.1	0
1	0	41	6273	6.5	0
2	20	14	6273	2.2	0
3	61	41	6406	6.4	0
4	123	41	6436	6.4	0
5	184	41	6436	6.4	0
6	234	41	6436	6.4	0
7	295	22	6436	3.4	0
8	305	23	6540	3.5	0
1	0	41	25107	1.6	0
2	20	41	25111	1.6	0
3	40	41	25126	1.6	0
4	130	38	25284	1.5	0
5	180	22	25488	0.9	0
1	0	41	15992	2.6	0
2	60	26	16006	1.6	0
3	260	28	16338	1.7	0
4	280	23	16348	1.4	0
5	300	41	16348	2.5	1
1	0	21	7946	2.6	0
2	10	25	7992	3.1	0
1	0	15	9369	1.6	0
2	91	30	9369	3.2	0
3	101	41	9369	4.4	0
4	161	41	9475	4.3	0
5	212	41	9488	4.3	0
6	222	15	9488	1.6	0
7	232	15	9488	1.6	1
8	262	15	9663	1.6	0
1	0	17	9347	1.8	0
2	50	30	9353	3.2	0
3	70	39	9353	4.2	0
4	90	24	9353	2.6	0
5	100	40	9353	4.3	0
6	120	24	9434	2.5	1
7	230	28	9511	2.9	0
1	0	22	12620	1.7	0
2	10	20	12705	1.6	0
3	40	41	12717	3.2	0
4	71	30	12741	2.4	0
5	91	43	12777	3.4	0
6	161	41	12813	3.2	0
7	191	50	12813	3.9	0
8	201	50	12813	3.9	0
9	251	44	13310	3.3	1
1	0	41	4608	8.9	0
2	110	49	4752	10.3	0
3	151	35	4946	7.1	0
1	0	43	79573	0.5	0
2	121	15	79781	0.2	1
3	201	37	79977	0.5	0
1	0	22	18547	1.2	0
2	53	16	18625	0.9	1
3	146	15	18891	0.8	0
4	171	11	18984	0.6	0
5	244	20	18998	1.1	0
